# 0lam 1beta 2fill/2 3tpri 4max_mag 5mag_pp 6dwave
1.0000000000 90.0000000000 0.4099974294 -0.0500000000 5.8510404643 5.8510404643 0.5069912460 
0.9800000000 90.0000000000 0.4099974294 -0.0500000000 6.2451406664 6.2451406664 0.5139461187 
0.9600000000 90.0000000000 0.4099974294 -0.0500000000 6.6630743159 6.6630743159 0.5212516566 
0.9400000000 90.0000000000 0.4099974294 -0.0500000000 7.1033347399 7.1033347399 0.5289636525 
0.9200000000 90.0000000000 0.4099974294 -0.0500000000 7.5638895763 7.5638350323 0.5371395966 
0.9000000000 90.0000000000 0.4099974294 -0.0500000000 8.0424465964 8.0421439109 0.5458388589 
0.8800000000 90.0000000000 0.4099974294 -0.0500000000 8.5357717367 8.5353638774 0.5550904549 
0.8600000000 90.0000000000 0.4099974294 -0.0500000000 9.0413359238 9.0404527767 0.5649310360 
0.8400000000 90.0000000000 0.4099974294 -0.0500000000 9.5555718609 9.5541683706 0.5753783283 
0.8200000000 90.0000000000 0.4099974294 -0.0500000000 10.0764417019 10.0733828632 0.5864503563 
0.8000000000 90.0000000000 0.4099974294 -0.0500000000 10.6007906672 10.5982370612 0.5981364941 
0.7800000000 90.0000000000 0.4099974294 -0.0500000000 11.1254460901 11.1254460901 0.6104108279 
0.7600000000 90.0000000000 0.4099974294 -0.0500000000 11.6515488375 11.6515488375 0.6232981240 
0.7400000000 90.0000000000 0.4099974294 -0.0500000000 12.1767729713 12.1767729713 0.6367437438 
0.7200000000 90.0000000000 0.4099974294 -0.0500000000 12.7010647521 12.7010647521 0.6508499410 
0.7000000000 90.0000000000 0.4099974294 -0.0500000000 13.2248262122 13.2248262122 0.6655578488 
0.6800000000 90.0000000000 0.4099974294 -0.0500000000 13.7595069271 13.7595069271 0.6808978928 
0.6600000000 90.0000000000 0.4099974294 -0.0500000000 14.2758846224 14.2758846224 0.6969192556 
0.6400000000 90.0000000000 0.4099974294 -0.0500000000 14.7899631500 14.7899631500 0.7136541814 
0.6200000000 90.0000000000 0.4099974294 -0.0500000000 15.3108967467 15.3108967467 0.7311814264 
0.6000000000 90.0000000000 0.4099974294 -0.0500000000 15.8145069945 15.8139693716 0.7496072678 
0.5800000000 90.0000000000 0.4099974294 -0.0500000000 16.3387540821 16.3387540821 0.7689718620 
0.5600000000 90.0000000000 0.4099974294 -0.0500000000 16.8865474487 16.8865474487 0.7894079064 
0.5400000000 90.0000000000 0.4099974294 -0.0500000000 17.4492744548 17.4492744548 0.8110388916 
0.5200000000 90.0000000000 0.4099974294 -0.0500000000 18.0305111511 18.0305111511 0.8340197791 
0.5000000000 90.0000000000 0.4099974294 -0.0500000000 18.6253012693 18.6252429390 0.8585913946 
0.4800000000 90.0000000000 0.4099974294 -0.0500000000 19.2578492546 19.2578492546 0.8848498795 
0.4600000000 90.0000000000 0.4099974294 -0.0500000000 19.9122509907 19.9122509907 0.9131434282 
0.4400000000 90.0000000000 0.4099974294 -0.0500000000 20.6007096026 20.6007096026 0.9438337516 
0.4200000000 90.0000000000 0.4099974294 -0.0500000000 21.3223475959 21.3223475959 0.9772005913 
0.4000000000 90.0000000000 0.4099974294 -0.0500000000 22.0840177463 22.0840177463 1.0138489653 
0.3800000000 90.0000000000 0.4099974294 -0.0500000000 22.8967802730 22.8967802730 1.0542958924 
0.3600000000 90.0000000000 0.4099974294 -0.0500000000 23.7545962367 23.7545962367 1.0991867300 
0.3400000000 90.0000000000 0.4099974294 -0.0500000000 24.6689495366 24.6689495366 1.1506246829 
0.3200000000 90.0000000000 0.4099974294 -0.0500000000 25.6463090243 25.6442430104 1.2090971915 
0.3000000000 90.0000000000 0.4099974294 -0.0500000000 26.8005402264 26.6842629353 1.2773567105 
0.2800000000 90.0000000000 0.4099974294 -0.0500000000 28.4590650441 27.8014001052 1.3585182009 
0.2600000000 90.0000000000 0.4099974294 -0.0500000000 30.5863169602 28.9961849442 1.4588684762 
0.2400000000 90.0000000000 0.4099974294 -0.0500000000 33.2044172083 30.2855203958 1.5842616970 
0.2200000000 90.0000000000 0.4099974294 -0.0500000000 36.5605688428 31.6707216260 1.7542431501 
0.2000000000 90.0000000000 0.4099974294 -0.0500000000 40.7625166992 33.1699274825 2.0001471425 
0.1800000000 90.0000000000 0.4099974294 -0.0500000000 48.0355490048 34.7966824676 2.4223883217 
0.1600000000 90.0000000000 0.4099974294 -0.0500000000 59.5547708203 36.5713588163 3.3360160720 
0.1420000000 90.0000000000 0.4099974294 -0.0500000000 77.2744002432 38.3055886477 6.7998189274 
0.1400000000 90.0000000000 0.4099974294 -0.0500000000 79.9974913975 38.5063255765 8.0056793534 
0.1400000000 90.0000000000 0.4099974294 -0.0500000000 79.9974913975 38.5063255765 8.0056793534 
0.1380000000 90.0000000000 0.4099974294 -0.0500000000 82.9396208849 38.7135529923 10.0063860674 
0.1360000000 90.0000000000 0.4099974294 -0.0500000000 86.1103269475 38.9197969244 14.2320797197 
0.1340000000 90.0000000000 0.4099974294 -0.0500000000 89.5705153662 39.0867435580 24.4755973162 
0.1320000000 90.0000000000 0.4099974294 -0.0500000000 93.3479821956 39.2915646857 76.0807459408 
0.1318000000 90.0000000000 0.4099974294 -0.0500000000 93.7440382103 39.3534119859 102.1115578670 
0.1316000000 90.0000000000 0.4099974294 -0.0500000000 94.1439205047 39.3685521753 155.2571292550 
0.1314000000 90.0000000000 0.4099974294 -0.0500000000 94.5464488661 39.3897457037 330.1918701136 
